model,family,params_total_b,params_active_b,quant,host_pinned,hosts_seen,host_errors,format,max_tokens,items,epochs,exact,exact_stderr,exact_ci95_low,exact_ci95_high,exact_epoch_range,bucket,steps_off,parse_failures,lenient_accuracy,transposed_misses,misses,quad,immune,differs,log
meta-llama/llama-3.1-8b-instruct,llama-3,8.03,8.03,fp8,DeepInfra,DeepInfra:1200,0,rows,1024,400,3,0.4117,0.0246,0.3645,0.4605,0.045,0.4708,1.04,0.0225,0.4142,216,706,0.1156,0.4966,0.3756,2026-08-29T14-10-48-00-00_pokemon-gen1_efEJFhvzsj5CJ9hRPsSuX5.eval
google/gemma-3-12b-it,gemma-3,12.2,12.2,bf16,DeepInfra,DeepInfra:1200,0,rows,1024,400,3,0.6458,0.0239,0.5978,0.6911,0.0275,0.6775,0.5683,0.0008,0.6467,184,425,0.4354,0.9728,0.6526,2026-08-29T14-13-13-00-00_pokemon-gen1_cYQRZAwk8DXWCwggKzdYM2.eval
google/gemma-3-27b-it,gemma-3,27.4,27.4,bf16,Novita,?:45;Novita:1200,0,rows,1024,400,3,0.68,0.0233,0.6328,0.7238,0.02,0.7008,0.5442,0.0,0.68,217,384,0.3061,0.7687,0.6948,2026-08-29T14-14-25-00-00_pokemon-gen1_aosFaSpqxFfj65R2QLkWYr.eval
qwen/qwen3-30b-a3b-instruct-2507,qwen-3,30.5,3.3,bf16,CoreWeave,CoreWeave:1200,0,rows,1024,400,3,0.8275,0.0189,0.7874,0.8614,0.015,0.8517,0.2767,0.0,0.8275,109,207,0.6122,0.9796,0.77,2026-08-29T14-16-16-00-00_pokemon-gen1_muTukzkoe754BFnGuydSXQ.eval
