model,family,params_total_b,params_active_b,quant,host_pinned,hosts_seen,host_errors,format,max_tokens,items,epochs,exact,exact_stderr,exact_ci95_low,exact_ci95_high,exact_epoch_range,bucket,steps_off,parse_failures,transposed_misses,misses,quad,immune,differs,log
meta-llama/llama-3.1-8b-instruct,llama-3,8.03,8.03,fp8,DeepInfra,?:14;DeepInfra:1200,0,table,1024,400,3,0.3258,0.0234,0.2817,0.3732,0.0325,0.37,1.045,0.0192,190,809,0.098,0.3571,,2026-08-29T10-44-33-00-00_pokemon-gen1_FgsWCJtk9WhLPEJmBFvW9F.eval
google/gemma-3-12b-it,gemma-3,12.2,12.2,bf16,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.48,0.025,0.4315,0.5289,0.045,0.5342,0.8025,0.0,190,624,0.3431,0.7619,,2026-08-29T10-47-18-00-00_pokemon-gen1_Npr5cphFZ4uo8tcRpgn6ED.eval
google/gemma-3-27b-it,gemma-3,27.4,27.4,bf16,Novita,?:129;Novita:1200,0,table,1024,400,3,0.6492,0.0239,0.6012,0.6943,0.0175,0.6942,0.5175,0.0,212,421,0.2255,0.7857,,2026-08-29T10-48-25-00-00_pokemon-gen1_QPgR6k8NcGhLipp2tnSBeE.eval
qwen/qwen3-30b-a3b-instruct-2507,qwen-3,30.5,3.3,bf16,CoreWeave,CoreWeave:1200,0,table,1024,400,3,0.6867,0.0232,0.6396,0.7302,0.005,0.6983,0.5,0.0,192,376,0.2647,0.6667,,2026-08-29T10-53-52-00-00_pokemon-gen1_GZvAGmQ9tFUZb8afYrfZLZ.eval
