model,family,params_total_b,params_active_b,quant,host_pinned,hosts_seen,host_errors,format,max_tokens,items,epochs,exact,exact_stderr,exact_ci95_low,exact_ci95_high,exact_epoch_range,bucket,steps_off,parse_failures,lenient_accuracy,transposed_misses,misses,quad,immune,differs,log
qwen/qwen3-8b,qwen-3,8.2,8.2,unknown,Alibaba,Alibaba:1200,0,table,4096,400,3,0.85,0.0179,0.8117,0.8817,0.0225,0.875,0.205,0.0,0.85,83,180,0.7483,1.0,0.7887,2026-08-29T19-48-57-00-00_pokemon-gen1_5THXuaVaMxqFdxLKat3Xmy.eval
qwen/qwen3-14b,qwen-3,14.8,14.8,fp8,DeepInfra,DeepInfra:825,0,table,4096,275,3,0.8946,0.0185,0.8527,0.9256,0.005,0.9006,0.1442,0.0,0.8958,47,86,0.8586,1.0,0.8904,2026-08-29T19-55-30-00-00_pokemon-gen1_9HLgYnyRLHUvqtQNuA9gN5.eval
